symptom,symptom_short,drug,baseline_reports,baseline_improve_rate,cooccur_n,cooccur_rate,cooccur_lift,attr_n,attr_rate,attr_sig_rate,attr_worsened
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Ashwagandha,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,NAD+,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Tollovid,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Clonazepam,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Rosuvastatin (Crestor),300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Methylated Vitamin B,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Ibuprofen (Advil, Motrin, etc.)",300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Evusheld,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Naproxen,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Red and near infrared light therapy,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Rapamycin,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Tirzepatide,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Galcanezumab (Emgality),300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Budesonide-Formoterol,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Fluoxetine,300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Taurine,300,0.867,3,1.000,0.150,3,1.000,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Magnesium L-Threonate (Magtein),300,0.867,3,1.000,0.150,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,HELP Apheresis,300,0.867,3,1.000,0.150,3,1.000,0.667,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Melatonin,300,0.867,28,0.964,0.128,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Ketotifen,300,0.867,25,0.960,0.122,5,1.000,0.600,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Pyridostigmine,300,0.867,24,0.958,0.119,10,0.800,0.100,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Metformin,300,0.867,18,0.944,0.101,8,1.000,0.250,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Clopidogrel,300,0.867,17,0.941,0.097,9,0.889,0.222,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Paxlovid (Nirmatrelvir-Ritonavir),300,0.867,16,0.938,0.092,8,0.875,0.750,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Apixaban (Eliquis),300,0.867,15,0.933,0.088,8,0.875,0.125,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Montelukast,300,0.867,13,0.923,0.076,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Ivabradine,300,0.867,35,0.914,0.074,12,0.917,0.250,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Vitamin B12,300,0.867,12,0.917,0.069,3,0.667,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Probiotic,300,0.867,22,0.909,0.064,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Hyperbaric Oxygen Therapy (HBOT),300,0.867,10,0.900,0.051,3,0.667,0.667,1
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Famotidine,300,0.867,45,0.889,0.046,9,0.889,0.444,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Cetirizine,300,0.867,27,0.889,0.042,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Amitriptyline (Elavil, Vanatrip, Domical)",300,0.867,9,0.889,0.039,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Electrolytes,300,0.867,9,0.889,0.039,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Nattokinase,300,0.867,25,0.880,0.032,10,0.900,0.500,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Vitamin D3,300,0.867,23,0.870,0.020,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Aspirin,300,0.867,30,0.867,0.017,11,0.909,0.273,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,N-Acetylcysteine (NAC),300,0.867,29,0.862,0.012,15,0.800,0.067,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Low Dose Naltrexone (LDN),300,0.867,111,0.856,0.008,65,0.846,0.231,1
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Prednisone (Rayos, Prednisone Intensol, Deltasone, etc.)",300,0.867,7,0.857,0.006,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Fish Oil,300,0.867,7,0.857,0.006,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Serrapeptase,300,0.867,7,0.857,0.006,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Amantadine (Symmetrel, Gocovri, Osmolex, Symadine, etc.)",300,0.867,7,0.857,0.006,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Atorvastatin (Lipitor),300,0.867,7,0.857,0.006,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Bupropion,300,0.867,13,0.846,-0.006,3,0.667,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Sertraline,300,0.867,6,0.833,-0.019,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Modafinil,300,0.867,6,0.833,-0.019,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Omega-3 Fatty Acids,300,0.867,6,0.833,-0.019,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Prednisolone (Pediapred, FloPred, Orapred, Millipred, etc.)",300,0.867,6,0.833,-0.019,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Fludrocortisone,300,0.867,12,0.833,-0.019,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Midodrine,300,0.867,18,0.833,-0.020,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Low Dose Aripiprazole,300,0.867,18,0.833,-0.020,7,1.000,0.286,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Magnesium,300,0.867,17,0.824,-0.030,4,0.750,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Guanfacine,300,0.867,11,0.818,-0.035,5,0.800,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Metoprolol,300,0.867,16,0.812,-0.042,3,0.667,0.333,1
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,CoQ10,300,0.867,37,0.811,-0.049,22,0.773,0.136,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Zolpidem,300,0.867,5,0.800,-0.053,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Berberine,300,0.867,5,0.800,-0.053,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Escitalopram (Lexapro, Cipralex)",300,0.867,5,0.800,-0.053,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Diphenhydramine (Benadryl, Allergia-C, Allermax, Nytol, etc.)",300,0.867,5,0.800,-0.053,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Ondansetron,300,0.867,5,0.800,-0.053,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Acetaminophen,300,0.867,5,0.800,-0.053,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Duloxetine,300,0.867,10,0.800,-0.054,3,0.667,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Turmeric,300,0.867,15,0.800,-0.055,3,0.333,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Nicotine Patch,300,0.867,15,0.800,-0.055,11,0.909,0.273,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Valacyclovir,300,0.867,15,0.800,-0.055,7,0.571,0.429,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Gabapentin,300,0.867,20,0.800,-0.056,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Nattokinase + Serrapeptase,300,0.867,9,0.778,-0.077,6,0.667,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Vitamin B3,300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Lisdexamfetamine (Vyvanse),300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Omalizumab,300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Sodium,300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Baclofen,300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Colchicine (Colcrys, Mitigare, LODOCO, Gloperba, etc.)",300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Fluticasone-Salmeterol (Advair HFA, Advair Diskus, AirDuo Respiclick)",300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Botulinum Toxin (Botox, Dysport, Xeomin, Jeuveau, etc.)",300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Dextromethorphan (Robitussin, Delsym, Koffex DM, etc.)",300,0.867,4,0.750,-0.103,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Hydroxyzine,300,0.867,8,0.750,-0.105,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Creatine,300,0.867,8,0.750,-0.105,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Lumbrokinase,300,0.867,8,0.750,-0.105,3,0.667,0.333,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,"Albuterol (Salbutamol, Proventil HFA, Ventolin HFA, Proair HFA, etc.)",300,0.867,7,0.714,-0.142,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Aripiprazole (Abilify),300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,5-HTP,300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Zinc,300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Rizatriptan,300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Liposomal Glutathione,300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,French Maritime Pine Bark Extract (Pycnogenol),300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Vitamin B Complex,300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Cimetidine (Tagamet),300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Pfizer COVID-19 Vaccine,300,0.867,3,0.667,-0.187,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Resveratrol,300,0.867,6,0.667,-0.190,3,0.333,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Ribose,300,0.867,6,0.667,-0.190,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Pregabalin,300,0.867,6,0.667,-0.190,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Maraviroc,300,0.867,6,0.667,-0.190,4,0.750,0.250,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Trazodone,300,0.867,8,0.625,-0.235,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Propranolol,300,0.867,37,0.649,-0.242,5,0.800,0.600,1
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Lorazepam,300,0.867,7,0.571,-0.289,4,1.000,0.000,0
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Fluvoxamine (Luvox),300,0.867,9,0.556,-0.308,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Benadryl,300,0.867,4,0.500,-0.358,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Venlafaxine,300,0.867,4,0.500,-0.358,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Nortriptyline,300,0.867,6,0.500,-0.361,0,,,
A worsening of symptoms that occurs after even minimum physical or cognitive exertion (Post-Exertional Malaise or PEM),PEM,Pantoprazole (Protonix),300,0.867,4,0.250,-0.612,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Metoprolol,228,0.768,25,1.000,0.066,20,1.000,0.600,0
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Probiotic,228,0.768,14,1.000,0.060,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Duloxetine,228,0.768,10,1.000,0.058,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Albuterol (Salbutamol, Proventil HFA, Ventolin HFA, Proair HFA, etc.)",228,0.768,10,1.000,0.058,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Fexofenadine,228,0.768,10,1.000,0.058,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Electrolytes,228,0.768,10,1.000,0.058,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Nattokinase + Serrapeptase,228,0.768,9,1.000,0.058,4,1.000,0.500,0
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Hydroxyzine,228,0.768,8,1.000,0.058,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Iron,228,0.768,8,1.000,0.058,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Atorvastatin (Lipitor),228,0.768,8,1.000,0.058,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Amantadine (Symmetrel, Gocovri, Osmolex, Symadine, etc.)",228,0.768,7,1.000,0.057,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Trazodone,228,0.768,7,1.000,0.057,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Acetaminophen,228,0.768,7,1.000,0.057,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Modafinil,228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Fluvoxamine (Luvox),228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Escitalopram (Lexapro, Cipralex)",228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Budesonide-Formoterol,228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Bupropion,228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Levocetirizine,228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Clopidogrel,228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Maraviroc,228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Sumatriptan (Imitrex, Sumavel DosePro, Alsuma, Zembrace, etc.)",228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Diphenhydramine (Benadryl, Allergia-C, Allermax, Nytol, etc.)",228,0.768,5,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Benadryl,228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Fluticasone,228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Saline,228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Beclomethasone (Clenil, Qvar, Cortis, Beconase, etc.)",228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Mometasone (Elecon),228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Hyperbaric Oxygen Therapy (HBOT),228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Omeprazole,228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Fluticasone-Salmeterol (Advair HFA, Advair Diskus, AirDuo Respiclick)",228,0.768,4,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Vitamin B3,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Lisdexamfetamine (Vyvanse),228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Fish Oil,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Berberine,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Ribose,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Venlafaxine,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Botulinum Toxin (Botox, Dysport, Xeomin, Jeuveau, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Diclofenac (Cambia, Cataflam, Voltaren, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Cyclobenzaprine (Flexeril, Amrix, Fexmid, FusePaq Tabradol, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Sodium,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Beta Blocker,228,0.768,3,1.000,0.056,3,1.000,0.667,0
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Colchicine (Colcrys, Mitigare, LODOCO, Gloperba, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Dextroamphetamine (Dexedrine, ProCentra, Zenzedi, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Pravastatin (Pravachol),228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Dextromethorphan (Robitussin, Delsym, Koffex DM, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Budesonide (Entocort, Ortikos, Pulmicort, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Acyclovir (Zovirax, Sitavig)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Prednisolone (Pediapred, FloPred, Orapred, Millipred, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Progesterone,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Creatine,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,"Ibuprofen (Advil, Motrin, etc.)",228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Taurine,228,0.768,3,1.000,0.056,0,,,
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Propranolol,228,0.768,49,0.959,0.020,46,0.957,0.326,1
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Aspirin,228,0.768,22,0.955,0.011,3,0.667,0.000,0
Abnormally fast heart rate or heart rate palpitations when the patient is standing up (Postural orthostatic tachycardia syndrome or POTS),POTS,Midodrine,228,0.768,20,0.950,0.005,14,0.929,0.214,0
